restaurant_id,Highlights,Present/NotPresent
16518264,Home Delivery,Present
16518264,Takeaway Available,Present
9100534,Home Delivery,Present
9100534,Takeaway Available,Present
9100534,Indoor Seating,Present
16519488,Home Delivery,Present
16519488,Takeaway Available,Present
16522387,Takeaway Available,Present
16522387,Wine,Present
16522387,Indoor Seating,Present
16520665,No Takeaway,Not Present
16520665,Wine,Present
16520665,Wifi,Present
16520665,Indoor Seating,Present
16520665,Has Early Bird Menu,Present
9101915,Breakfast,Present
9101915,No Takeaway,Not Present
9101915,Wine,Present
9101915,Wifi,Present
9101915,Afternoon Tea,Present
9101915,Lunch Menu,Present
9101915,Indoor Seating,Present
9101915,Vegetarian Friendly,Present
9101915,Wine By Glass,Present
9100857,No Takeaway,Not Present
9100857,Full Bar Available,Present
9100857,Smoking Area,Present
9100857,Lunch Menu,Present
9100857,Nightlife,Present
9100857,Indoor Seating,Present
9100857,Wifi,Present
9100857,Live Sports Screening,Present
9101003,Breakfast,Present
9101003,No Takeaway,Not Present
9101003,Full Bar Available,Present
9101003,Wifi,Present
9101003,Indoor Seating,Present
9101003,Afternoon Tea,Present
9101003,Nightlife,Present
9100771,Breakfast,Present
9100771,No Takeaway,Not Present
9100771,Full Bar Available,Present
9100771,Afternoon Tea,Present
9100771,Nightlife,Present
9100771,Indoor Seating,Present
9100771,Wifi,Present
9101806,No Takeaway,Not Present
9101806,Full Bar Available,Present
9101806,Live Music,Present
9101806,Indoor Seating,Present
9101806,Brunch,Present
9101806,Live Sports Screening,Present
9101806,Wifi,Present
9101806,Lunch Menu,Present
9101806,Nightlife,Present
9101932,Breakfast,Present
9101932,No Takeaway,Not Present
9101932,Full Bar Available,Present
9101932,Kid Friendly,Present
9101932,Wifi,Present
9101932,Indoor Seating,Present
9101932,Luxury Dining,Present
9101932,Craft Beer,Present
9101932,Wine By Glass,Present
9101417,Breakfast,Present
9101417,No Takeaway,Not Present
9101417,Indoor Seating,Present
16517321,Breakfast,Present
16517321,Takeaway Available,Present
16517321,Wine,Present
16517321,Wifi,Present
16517321,Outdoor Seating,Present
16520226,Breakfast,Present
16520226,No Takeaway,Not Present
16520226,Full Bar Available,Present
16520226,Kid Friendly,Present
16520226,Gluten Free Options,Present
16520226,Indoor Seating,Present
16520226,Wifi,Present
16520226,Afternoon Tea,Present
16520226,Has Early Bird Menu,Present
9101203,No Takeaway,Not Present
9101203,Wine,Present
9101203,Wifi,Present
9101203,Indoor Seating,Present
9100847,Breakfast,Present
9100847,No Takeaway,Not Present
9100847,Full Bar Available,Present
9100847,Afternoon Tea,Present
9100847,Live Sports Screening,Present
9100847,Indoor Seating,Present
9100847,Wifi,Present
9100847,Nightlife,Present
16519469,No Takeaway,Not Present
16519469,Has Early Bird Menu,Present
16519469,Indoor Seating,Present
16519469,Lunch Menu,Present
9101929,No Takeaway,Not Present
9101929,Wine,Present
9101929,Luxury Dining,Present
9101929,Lunch Menu,Present
9101929,Indoor Seating,Present
9101929,Serves Organic Food,Present
9101555,Breakfast,Present
9101555,No Takeaway,Not Present
9101555,Wine,Present
9101555,Indoor Seating,Present
9101532,Breakfast,Present
9101532,Takeaway Available,Present
9101532,Smoking Area,Present
9101532,Lunch Menu,Present
9101532,Outdoor Seating,Present
9101378,No Takeaway,Not Present
9101378,Full Bar Available,Present
9101378,Wifi,Present
9101378,Indoor Seating,Present
9101622,No Takeaway,Not Present
9101622,Serves Alcohol,Present
9101622,Indoor Seating,Present
9100993,No Takeaway,Not Present
9100993,Full Bar Available,Present
9100993,Live Music,Present
9100993,Outdoor Seating,Present
9100993,Wifi,Present
9100993,Nightlife,Present
9100993,Smoking Area,Present
9100993,Live Sports Screening,Present
9101481,No Takeaway,Not Present
9101481,Full Bar Available,Present
9101481,Indoor Seating,Present
16520728,Home Delivery,Present
16520728,Takeaway Available,Present
9100296,Takeaway Available,Present
9100296,No Alcohol Available,Not Present
9100296,Indoor Seating,Present
16518626,Takeaway Available,Present
16518626,Indoor Seating,Present
16518626,Wifi,Present
16522451,Home Delivery,Present
16522451,Takeaway Available,Present
9101360,Home Delivery,Present
9101360,Takeaway Available,Present
9100156,Takeaway Available,Present
9100156,Indoor Seating,Present
16520704,Home Delivery,Present
16520704,Takeaway Available,Present
16518363,Takeaway Available,Present
16518363,Indoor Seating,Present
9100388,Home Delivery,Present
9100388,Takeaway Available,Present
9100830,Takeaway Available,Present
9100830,Wifi,Present
9100830,Indoor Seating,Present
16518299,Takeaway Available,Present
16518299,Wifi,Present
16518299,Indoor Seating,Present
9101372,Home Delivery,Present
9101372,Takeaway Available,Present
9101372,Indoor Seating,Present
16518173,Home Delivery,Present
16518173,Takeaway Available,Present
16518173,Indoor Seating,Present
16509207,Takeaway Available,Present
16509207,Wifi,Present
16509207,Outdoor Seating,Present
16520807,Breakfast,Present
16520807,Takeaway Available,Present
16520807,Serves Alcohol,Present
16520807,Smoking Area,Present
16520807,Outdoor Seating,Present
16520807,Wifi,Present
16519530,Takeaway Available,Present
16519530,Wifi,Present
16519530,Indoor Seating,Present
17730021,Home Delivery,Present
17730021,Takeaway Available,Present
16517422,Takeaway Only,Present
9101111,Breakfast,Present
9101111,Takeaway Only,Present
9101111,Seating Not Available,Not Present
9101111,No Alcohol Available,Not Present
9100700,Takeaway Available,Present
9100700,Indoor Seating,Present
16518461,No Takeaway,Not Present
16518461,Full Bar Available,Present
16518461,Wifi,Present
16518461,Nightlife,Present
16518461,Indoor Seating,Present
16521227,Takeaway Available,Present
16521227,Kid Friendly,Present
16521227,Lunch Menu,Present
16521227,Indoor Seating,Present
16521227,Wifi,Present
16520735,Breakfast,Present
16520735,Takeaway Available,Present
16520735,Wifi,Present
16520735,Indoor Seating,Present
9100638,No Takeaway,Not Present
9100638,Full Bar Available,Present
9100638,Smoking Area,Present
9100638,Wifi,Present
9100638,Nightlife,Present
9100638,Outdoor Seating,Present
9100638,Live Sports Screening,Present
9100425,Breakfast,Present
9100425,Takeaway Available,Present
9100425,Indoor Seating,Present
9100425,Wifi,Present
16518624,Breakfast,Present
16518624,Takeaway Available,Present
16518624,Wifi,Present
16518624,Kid Friendly,Present
16518624,Indoor Seating,Present
9100432,Breakfast,Present
9100432,Takeaway Available,Present
9100432,Wifi,Present
9100432,Indoor Seating,Present
9100479,Breakfast,Present
9100479,Takeaway Available,Present
9100479,Wifi,Present
9100479,Indoor Seating,Present
16519912,Breakfast,Present
16519912,Takeaway Available,Present
16519912,Wifi,Present
16519912,Indoor Seating,Present
9101375,Takeaway Available,Present
9101375,Wifi,Present
9101375,Indoor Seating,Present
16520659,Breakfast,Present
16520659,Takeaway Available,Present
16520659,Wifi,Present
16520659,Indoor Seating,Present
16518381,Breakfast,Present
16518381,Takeaway Available,Present
16518381,Kid Friendly,Present
16518381,Indoor Seating,Present
16518381,Wifi,Present
16518381,Lunch Menu,Present
9100137,Breakfast,Present
9100137,Takeaway Available,Present
9100137,Wifi,Present
9100137,Indoor Seating,Present
9100486,Takeaway Available,Present
9100486,Indoor Seating,Present
9100195,Breakfast,Present
9100195,Takeaway Available,Present
9100195,Wifi,Present
9100195,Indoor Seating,Present
9101508,Home Delivery,Present
9101508,Takeaway Available,Present
9101508,Wifi,Present
9101508,Indoor Seating,Present
16522408,Breakfast,Present
16522408,Takeaway Available,Present
16522408,Wifi,Present
16522408,Indoor Seating,Present
16519905,Breakfast,Present
16519905,Takeaway Available,Present
16519905,Wifi,Present
16519905,Indoor Seating,Present
9100423,Breakfast,Present
9100423,Takeaway Available,Present
9100423,Outdoor Seating,Present
9100423,Wifi,Present
16522258,Breakfast,Present
16522258,No Takeaway,Not Present
16522258,Indoor Seating,Present
9101021,Breakfast,Present
9101021,Takeaway Only,Present
9101021,Seating Not Available,Not Present
9101021,No Alcohol Available,Not Present
16518166,Breakfast,Present
16518166,Takeaway Only,Present
16518166,Gluten Free Options,Present
16518166,Vegetarian Friendly,Present
16518166,Kid Friendly,Present
16518166,Serves Organic Food,Present
9101210,Breakfast,Present
9101210,Takeaway Available,Present
9101210,Wifi,Present
9101210,Indoor Seating,Present
16522254,Breakfast,Present
16522254,Takeaway Available,Present
16522254,Wine and Beer,Present
16522254,Indoor Seating,Present
16522254,Craft Beer,Present
16522254,Wifi,Present
16522254,Lunch Menu,Present
18405018,Breakfast,Present
18405018,No Takeaway,Not Present
18405018,No Alcohol Available,Not Present
18405018,Indoor Seating,Present
9101766,Breakfast,Present
9101766,Takeaway Only,Present
16518555,Breakfast,Present
16518555,Takeaway Available,Present
16518555,Indoor Seating,Present
16518555,Serves Organic Food,Present
16518555,Outdoor Seating,Present
16518555,Wifi,Present
16519354,Breakfast,Present
16519354,Takeaway Available,Present
16519354,Wifi,Present
16519354,Indoor Seating,Present
16519354,Serves Organic Food,Present
16519354,Desserts and Bakes,Present
9100721,Breakfast,Present
9100721,Takeaway Available,Present
9100721,Wine and Beer,Present
9100721,Wifi,Present
9100721,Lunch Menu,Present
9100721,Indoor Seating,Present
9100721,Craft Beer,Present
9100813,Breakfast,Present
9100813,Takeaway Available,Present
9100813,Serves Organic Food,Present
9100813,Outdoor Seating,Present
9101601,Breakfast,Present
9101601,Home Delivery,Present
9101601,Takeaway Available,Present
9101601,Wine and Beer,Present
9101601,Has Early Bird Menu,Present
9101601,Indoor Seating,Present
9101601,Vegan Options,Present
9101601,Outdoor Seating,Present
9101601,Kid Friendly,Present
9101283,Breakfast,Present
9101283,Takeaway Available,Present
9101283,Wine,Present
9101283,Kid Friendly,Present
9101283,Indoor Seating,Present
9101283,Wifi,Present
9101283,Lunch Menu,Present
9101564,No Takeaway,Not Present
9101564,BYOB Only,Present
9101564,Vegan Options,Present
9101564,Indoor Seating,Present
9100023,Breakfast,Present
9100023,Takeaway Available,Present
9100023,Wifi,Present
9100023,Outdoor Seating,Present
9100023,Serves Organic Food,Present
9100023,Lunch Menu,Present
16520444,Breakfast,Present
16520444,Takeaway Available,Present
16520444,Wifi,Present
16520444,Indoor Seating,Present
9101583,Breakfast,Present
9101583,Home Delivery,Present
9101583,Takeaway Available,Present
9101583,Wifi,Present
9101583,Outdoor Seating,Present
9101338,Breakfast,Present
9101338,Takeaway Available,Present
9101338,Indoor Seating,Present
9101279,Breakfast,Present
9101279,Takeaway Available,Present
9101279,Gluten Free Options,Present
9101279,Indoor Seating,Present
9101279,Wifi,Present
9101279,Outdoor Seating,Present
9101600,Breakfast,Present
9101600,Takeaway Available,Present
9101600,Indoor Seating,Present
9101600,Desserts and Bakes,Present
18117882,Takeaway Available,Present
18117882,No Alcohol Available,Not Present
18117882,Gluten Free Options,Present
18117882,Vegetarian Friendly,Present
18117882,Indoor Seating,Present
18117882,Vegan Options,Present
18117882,Desserts and Bakes,Present
9101221,Breakfast,Present
9101221,No Takeaway,Not Present
9101221,Full Bar Available,Present
9101221,Wifi,Present
9101221,Outdoor Seating,Present
9100193,Breakfast,Present
9100193,No Takeaway,Not Present
9100193,Serves Alcohol,Present
9100193,Wifi,Present
9100193,Has Early Bird Menu,Present
9100193,Indoor Seating,Present
9100193,Lunch Menu,Present
9101833,No Takeaway,Not Present
9101833,Full Bar Available,Present
9101833,Indoor Seating,Present
9101041,Takeaway Available,Present
9101041,Full Bar Available,Present
9101041,Wifi,Present
9101041,Outdoor Seating,Present
9101041,Group Meal,Present
16519461,Breakfast,Present
16519461,No Takeaway,Not Present
16519461,Wine and Beer,Present
16519461,Kid Friendly,Present
16519461,Outdoor Seating,Present
16519461,Smoking Area,Present
16518551,Takeaway Available,Present
16518551,Wine and Beer,Present
16518551,Kid Friendly,Present
16518551,Outdoor Seating,Present
16518551,Wifi,Present
9100780,Takeaway Available,Present
9100780,Wine and Beer,Present
9100780,Kid Friendly,Present
9100780,Lunch Menu,Present
9100780,Outdoor Seating,Present
9100780,Wifi,Present
16518306,No Takeaway,Not Present
16518306,Wine and Beer,Present
16518306,Gluten Free Options,Present
16518306,Indoor Seating,Present
9101166,Breakfast,Present
9101166,Takeaway Available,Present
9101166,Wine,Present
9101166,Indoor Seating,Present
9101166,Has Early Bird Menu,Present
9101166,Outdoor Seating,Present
9101166,Lunch Menu,Present
16517311,Home Delivery,Present
16517311,Takeaway Available,Present
16517311,Serves Alcohol,Present
16517311,Wifi,Present
16517311,Indoor Seating,Present
16517311,Lunch Menu,Present
9100763,Takeaway Available,Present
9100763,Wine and Beer,Present
9100763,Kid Friendly,Present
9100763,Lunch Menu,Present
9100763,Indoor Seating,Present
9100763,Wifi,Present
16519463,Takeaway Available,Present
16519463,Full Bar Available,Present
16519463,Indoor Seating,Present
16519463,Wifi,Present
16519463,Lunch Menu,Present
16519463,Outdoor Seating,Present
16519463,Private Dining Area Available,Present
16519463,Has Early Bird Menu,Present
16519463,Nightlife,Present
9101222,Home Delivery,Present
9101222,Takeaway Available,Present
9101222,Wine and Beer,Present
9101222,Indoor Seating,Present
9101539,Takeaway Available,Present
9101539,Wifi,Present
9101539,Indoor Seating,Present
9101237,Takeaway Available,Present
9101237,Wine and Beer,Present
9101237,Kid Friendly,Present
9101237,Outdoor Seating,Present
9101237,Wifi,Present
16518290,Breakfast,Present
16518290,No Takeaway,Not Present
16518290,Wine,Present
16518290,Wifi,Present
16518290,Has Early Bird Menu,Present
16518290,Indoor Seating,Present
16518290,Lunch Menu,Present
9101820,No Takeaway,Not Present
9101820,Wine,Present
9101820,Indoor Seating,Present
9101157,Takeaway Available,Present
9101157,Wine,Present
9101157,Lunch Menu,Present
9101157,Indoor Seating,Present
9100278,Takeaway Available,Present
9100278,Wine and Beer,Present
9100278,Kid Friendly,Present
9100278,Outdoor Seating,Present
9100278,Wifi,Present
9101274,Takeaway Available,Present
9101274,Wine and Beer,Present
9101274,Indoor Seating,Present
18256422,Takeaway Available,Present
18256422,No Alcohol Available,Not Present
18256422,Indoor Seating,Present
18256422,Gluten Free Options,Present
16519220,No Takeaway,Not Present
16519220,Indoor Seating,Present
16519902,Home Delivery,Present
16519902,Takeaway Available,Present
16519891,Takeaway Available,Present
16519891,Indoor Seating,Present
16520413,Takeaway Available,Present
16520413,Wifi,Present
16520413,Indoor Seating,Present
16520413,Lunch Menu,Present
9100776,Takeaway Available,Present
9100776,Wine,Present
9100776,Indoor Seating,Present
9100776,Lunch Menu,Present
9100776,Outdoor Seating,Present
9100776,Smoking Area,Present
9100776,Has Early Bird Menu,Present
16519303,Takeaway Available,Present
16519303,Serves Alcohol,Present
16519303,Wifi,Present
16519303,Indoor Seating,Present
9101509,Takeaway Available,Present
9101509,Kid Friendly,Present
9101509,Indoor Seating,Present
9101509,Wifi,Present
9101168,No Takeaway,Not Present
9101168,Indoor Seating,Present
9100896,No Takeaway,Not Present
9100896,Serves Alcohol,Present
9100896,Has Early Bird Menu,Present
9100896,Indoor Seating,Present
9100896,Lunch Menu,Present
16519102,Takeaway Available,Present
16519102,Indoor Seating,Present
9101438,Takeaway Available,Present
9101438,Indoor Seating,Present
9101438,Wifi,Present
9101744,No Takeaway,Not Present
9101744,Full Bar Available,Present
9101744,Live Music,Present
9101744,Indoor Seating,Present
9101744,Nightlife,Present
9101744,Smoking Area,Present
9101744,Wifi,Present
9101752,Takeaway Only,Present
9101674,Breakfast,Present
9101674,No Takeaway,Not Present
9101674,Indoor Seating,Present
16522175,No Takeaway,Not Present
16522175,Full Bar Available,Present
16522175,Group Meal,Present
16522175,Craft Beer,Present
16522175,Indoor Seating,Present
16522175,Nightlife,Present
16520664,Takeaway Available,Present
16520664,Wine and Beer,Present
16520664,BYOB,Present
16520664,Lunch Menu,Present
16520664,Wifi,Present
16520664,Indoor Seating,Present
16520664,Vegetarian Friendly,Present
9100528,Takeaway Available,Present
9100528,Full Bar Available,Present
9100528,Wifi,Present
9100528,Indoor Seating,Present
9100528,Nightlife,Present
16522384,Takeaway Available,Present
16522384,Full Bar Available,Present
16522384,Wifi,Present
16522384,Nightlife,Present
16522384,Indoor Seating,Present
16522384,Lunch Menu,Present
16518548,Home Delivery,Present
16518548,Takeaway Available,Present
16518548,Wine and Beer,Present
16518548,Lunch Menu,Present
16518548,Indoor Seating,Present
16518548,Wifi,Present
16519894,Home Delivery,Present
16519894,Takeaway Available,Present
16519894,Serves Alcohol,Present
16519894,Wifi,Present
16519894,Outdoor Seating,Present
9100960,Takeaway Available,Present
9100960,Wine and Beer,Present
9100960,Wifi,Present
9100960,Indoor Seating,Present
9100960,Lunch Menu,Present
9101613,No Takeaway,Not Present
9101613,Full Bar Available,Present
9101613,Wifi,Present
9101613,Indoor Seating,Present
9101613,Has Early Bird Menu,Present
9101750,Home Delivery,Present
9101750,Takeaway Available,Present
9101750,Wine and Beer,Present
9101750,BYOB,Present
9101750,Wifi,Present
9101750,Indoor Seating,Present
9101750,Lunch Menu,Present
16517292,Home Delivery,Present
16517292,Takeaway Available,Present
16517292,Serves Alcohol,Present
16517292,Kid Friendly,Present
16517292,Lunch Menu,Present
16517292,Indoor Seating,Present
16517292,Wifi,Present
9101200,No Takeaway,Not Present
9101200,Full Bar Available,Present
9101200,Lunch Menu,Present
9101200,Indoor Seating,Present
9101200,Nightlife,Present
16522169,No Takeaway,Not Present
16522169,Full Bar Available,Present
16522169,Karaoke,Present
16522169,Indoor Seating,Present
16522169,Nightlife,Present
16522221,No Takeaway,Not Present
16522221,Indoor Seating,Present
9101596,Takeaway Available,Present
9101596,Serves Alcohol,Present
9101596,Outdoor Seating,Present
9101596,Lunch Menu,Present
9101596,Wifi,Present
16518159,No Takeaway,Not Present
16518159,Serves Alcohol,Present
16518159,Indoor Seating,Present
16522102,Takeaway Available,Present
16522102,Serves Alcohol,Present
16522102,Has Early Bird Menu,Present
16522102,Indoor Seating,Present
16522191,No Takeaway,Not Present
16522191,Serves Alcohol,Present
16522191,Wifi,Present
16522191,Lunch Menu,Present
16522191,Indoor Seating,Present
16519506,Takeaway Available,Present
16519506,Wine and Beer,Present
16519506,Wifi,Present
16519506,Craft Beer,Present
16519506,Indoor Seating,Present
16519506,Lunch Menu,Present
16520796,Home Delivery,Present
16520796,Takeaway Available,Present
16520796,Serves Alcohol,Present
16520796,Wifi,Present
16520796,Outdoor Seating,Present
16520796,Lunch Menu,Present
9100764,Home Delivery,Present
9100764,Takeaway Available,Present
9100382,Home Delivery,Present
9100382,Takeaway Available,Present
16522487,Takeaway Available,Present
16522487,Serves Alcohol,Present
16522487,Indoor Seating,Present
16518394,Home Delivery,Present
16518394,Takeaway Available,Present
16518394,Wine and Beer,Present
16518394,Indoor Seating,Present
16518394,Private Dining Area Available,Present
16518394,Lunch Menu,Present
16518394,Outdoor Seating,Present
16518394,Kid Friendly,Present
16518394,Wifi,Present
16519389,Home Delivery,Present
16519389,Takeaway Available,Present
16522439,Takeaway Available,Present
16522439,Indoor Seating,Present
16517295,Home Delivery,Present
16517295,Takeaway Available,Present
9101149,Home Delivery,Present
9101149,Takeaway Available,Present
16520033,Home Delivery,Present
16520033,Takeaway Available,Present
16520013,Home Delivery,Present
16520013,Takeaway Available,Present
16520009,Home Delivery,Present
16520009,Takeaway Available,Present
16517314,Home Delivery,Present
16517314,Takeaway Available,Present
9101390,Home Delivery,Present
9101390,Takeaway Available,Present
16519898,Home Delivery,Present
16519898,Takeaway Available,Present
16519898,Wine and Beer,Present
16519898,Buffet,Present
16519898,Indoor Seating,Present
9100666,Home Delivery,Present
9100666,Takeaway Available,Present
9100069,Takeaway Available,Present
9100069,Indoor Seating,Present
9101292,Home Delivery,Present
9101292,Takeaway Available,Present
9101292,No Alcohol Available,Not Present
9101292,Indoor Seating,Present
16521325,Home Delivery,Present
16521325,Takeaway Available,Present
16520698,Home Delivery,Present
16520698,Takeaway Available,Present
9100035,Home Delivery,Present
9100035,Takeaway Available,Present
16519280,Breakfast,Present
16519280,Takeaway Available,Present
16519280,Smoking Area,Present
16519280,Outdoor Seating,Present
16519442,Breakfast,Present
16519442,Takeaway Available,Present
16519442,Kid Friendly,Present
16519442,Lunch Menu,Present
16519442,Indoor Seating,Present
16519427,Breakfast,Present
16519427,Takeaway Available,Present
16519427,Smoking Area,Present
16519427,Outdoor Seating,Present
16519427,Wifi,Present
9100782,Breakfast,Present
9100782,Takeaway Available,Present
9100782,Kid Friendly,Present
9100782,Lunch Menu,Present
9100782,Indoor Seating,Present
9100779,Breakfast,Present
9100779,Takeaway Available,Present
9100779,Indoor Seating,Present
9100779,Wifi,Present
16517435,Breakfast,Present
16517435,Takeaway Available,Present
16517435,Serves Alcohol,Present
16517435,Wifi,Present
16517435,Outdoor Seating,Present
16522360,Breakfast,Present
16522360,Takeaway Available,Present
16522360,Kid Friendly,Present
16522360,Indoor Seating,Present
16522360,Wifi,Present
9100342,Breakfast,Present
9100342,Takeaway Available,Present
9100342,Wifi,Present
9100342,Indoor Seating,Present
16519319,Breakfast,Present
16519319,Takeaway Available,Present
16519319,Indoor Seating,Present
16519319,Outdoor Seating,Present
16519319,Smoking Area,Present
9101702,Breakfast,Present
9101702,Takeaway Available,Present
9101702,Wifi,Present
9101702,Indoor Seating,Present
16517437,Breakfast,Present
16517437,Takeaway Available,Present
16517437,Wifi,Present
16517437,Indoor Seating,Present
16518654,Breakfast,Present
16518654,Takeaway Available,Present
16518654,Indoor Seating,Present
16518654,Outdoor Seating,Present
16520447,Breakfast,Present
16520447,Takeaway Available,Present
16520447,Indoor Seating,Present
16521286,Breakfast,Present
16521286,Takeaway Available,Present
16521286,Indoor Seating,Present
9100959,Breakfast,Present
9100959,Takeaway Available,Present
9100959,Indoor Seating,Present
9100959,Outdoor Seating,Present
9100959,Kid Friendly,Present
9100187,Breakfast,Present
9100187,Takeaway Available,Present
9100187,Indoor Seating,Present
9100187,Lunch Menu,Present
16522391,Breakfast,Present
16522391,Takeaway Available,Present
16522391,Wifi,Present
16522391,Indoor Seating,Present
9100722,Breakfast,Present
9100722,Takeaway Available,Present
9100722,Indoor Seating,Present
9100936,Breakfast,Present
9100936,Takeaway Available,Present
9100936,No Alcohol Available,Not Present
9100936,Indoor Seating,Present
16518395,Home Delivery,Present
16518395,Takeaway Available,Present
16518395,Wine and Beer,Present
16518395,BYOB,Present
16518395,Indoor Seating,Present
9100091,Takeaway Available,Present
9100091,Indoor Seating,Present
16520699,Home Delivery,Present
16520699,Takeaway Available,Present
9100026,Home Delivery,Present
9100026,Takeaway Available,Present
16520401,Takeaway Available,Present
16520401,Serves Alcohol,Present
16520401,Wifi,Present
16520401,Indoor Seating,Present
9100284,Breakfast,Present
9100284,Takeaway Available,Present
9100284,Wifi,Present
9100284,Indoor Seating,Present
9100180,Home Delivery,Present
9100180,Takeaway Available,Present
9100180,Serves Alcohol,Present
9100180,Indoor Seating,Present
9101594,Home Delivery,Present
9101594,Takeaway Available,Present
9100211,Home Delivery,Present
9100211,Takeaway Available,Present
9101821,Home Delivery,Present
9101821,Takeaway Available,Present
9101821,Wine,Present
9101821,Indoor Seating,Present
16518598,Home Delivery,Present
16518598,Takeaway Available,Present
16518598,Wine and Beer,Present
16518598,Wifi,Present
16518598,Indoor Seating,Present
16518598,Lunch Menu,Present
9100221,Takeaway Only,Present
16519505,Home Delivery,Present
16519505,Takeaway Available,Present
16519505,Serves Alcohol,Present
16519505,Indoor Seating,Present
16519095,Home Delivery,Present
16519095,Takeaway Available,Present
16519095,No Alcohol Available,Not Present
16519095,Indoor Seating,Present
16519110,Home Delivery,Present
16519110,Takeaway Available,Present
9101019,Breakfast,Present
9101019,Takeaway Available,Present
9101019,Wine,Present
9101019,Indoor Seating,Present
16517436,Takeaway Only,Present
16517436,Desserts and Bakes,Present
16517436,Kid Friendly,Present
16521224,Breakfast,Present
16521224,Takeaway Available,Present
16521224,No Alcohol Available,Not Present
16521224,Desserts and Bakes,Present
16521224,Indoor Seating,Present
9100675,Breakfast,Present
9100675,No Takeaway,Not Present
9100675,Indoor Seating,Present
9100675,Wifi,Present
16520788,Breakfast,Present
16520788,Takeaway Only,Present
16520788,Wifi,Present
16517395,Takeaway Only,Present
16517395,Desserts and Bakes,Present
16517395,Kid Friendly,Present
9100086,Breakfast,Present
9100086,Takeaway Available,Present
9100086,Wifi,Present
9100086,Outdoor Seating,Present
16518201,Breakfast,Present
16518201,Takeaway Only,Present
16518201,Desserts and Bakes,Present
9100873,Breakfast,Present
9100873,Takeaway Available,Present
9100873,Indoor Seating,Present
9100873,Desserts and Bakes,Present
16518633,Breakfast,Present
16518633,Takeaway Only,Present
16518633,Wifi,Present
16518633,Desserts and Bakes,Present
16518633,Kid Friendly,Present
9101453,Breakfast,Present
9101453,Takeaway Available,Present
9101453,Wifi,Present
9101453,Desserts and Bakes,Present
9101453,Indoor Seating,Present
9101453,Lunch Menu,Present
16519085,Breakfast,Present
16519085,Takeaway Only,Present
9100628,Breakfast,Present
9100628,Takeaway Only,Present
9101680,Breakfast,Present
9101680,Takeaway Available,Present
9101680,Wifi,Present
9101680,Indoor Seating,Present
16519006,Breakfast,Present
16519006,Takeaway Only,Present
16519006,Desserts and Bakes,Present
16518268,Breakfast,Present
16518268,Home Delivery,Present
16518268,Takeaway Available,Present
16518268,Wine,Present
16518268,Wifi,Present
16518268,Vegetarian Friendly,Present
16518268,Indoor Seating,Present
16518268,Serves Organic Food,Present
16518631,Breakfast,Present
16518631,Takeaway Only,Present
16518406,Breakfast,Present
16518406,Takeaway Available,Present
16518406,No Alcohol Available,Not Present
16518406,Kid Friendly,Present
16518406,Lunch Menu,Present
16518406,Indoor Seating,Present
16518406,Wifi,Present
16518406,Desserts and Bakes,Present
16520203,Takeaway Available,Present
16520203,Full Bar Available,Present
16520203,Kid Friendly,Present
16520203,Lunch Menu,Present
16520203,Indoor Seating,Present
16520203,Nightlife,Present
9101194,Breakfast,Present
9101194,No Takeaway,Not Present
9101194,Full Bar Available,Present
9101194,Live Music,Present
9101194,Smoking Area,Present
9101194,Nightlife,Present
9101194,Craft Beer,Present
9101194,Outdoor Seating,Present
16519199,Breakfast,Present
16519199,Takeaway Available,Present
16519199,No Alcohol Available,Not Present
16519199,Brunch,Present
16519199,Wifi,Present
16519199,Indoor Seating,Present
16518615,Breakfast,Present
16518615,Takeaway Available,Present
16518615,Wine and Beer,Present
16518615,Kid Friendly,Present
16518615,Afternoon Tea,Present
16518615,Lunch Menu,Present
16518615,Indoor Seating,Present
16518615,Smoking Area,Present
9100923,No Takeaway,Not Present
9100923,Full Bar Available,Present
9100923,Smoking Area,Present
9100923,Board Games,Present
9100923,Craft Beer,Present
9100923,Outdoor Seating,Present
9100923,Wifi,Present
9100923,Nightlife,Present
16519457,Breakfast,Present
16519457,Home Delivery,Present
16519457,Takeaway Available,Present
16519457,Wine,Present
9100665,No Takeaway,Not Present
9100665,Full Bar Available,Present
9100665,Wifi,Present
9100665,Nightlife,Present
9100665,Indoor Seating,Present
9100665,Board Games,Present
9100665,Live Sports Screening,Present
9100665,Craft Beer,Present
9101559,No Takeaway,Not Present
9101559,Outdoor Seating,Present
9101554,Takeaway Only,Present
9101547,Takeaway Only,Present
16520029,Breakfast,Present
16520029,Home Delivery,Present
16520029,Takeaway Available,Present
16520029,No Alcohol Available,Not Present
16520029,Free Parking,Present
16520029,Kid Friendly,Present
16520029,Outdoor Seating,Present
9101558,Takeaway Only,Present
9101649,Takeaway Available,Present
9101649,No Alcohol Available,Not Present
9101649,Desserts and Bakes,Present
9101649,Indoor Seating,Present
9101560,No Takeaway,Not Present
9101560,Outdoor Seating,Present
9101551,Takeaway Only,Present
9101556,No Takeaway,Not Present
9101655,Takeaway Only,Present
9101654,Takeaway Only,Present
9101653,Takeaway Only,Present
16519323,Breakfast,Present
16519323,Takeaway Available,Present
16519323,No Alcohol Available,Not Present
16519323,Board Games,Present
16519323,Outdoor Seating,Present
16519323,Desserts and Bakes,Present
16522247,Takeaway Available,Present
16522247,Desserts and Bakes,Present
16522247,Indoor Seating,Present
16522128,Breakfast,Present
